gameId,season,homeTeam,awayTeam,homeSeed,awaySeed,homeCourt,homeWin,gameNumber,round,eFG%_home_season,TOV%_home_season,ORB%_home_season,DRB%_home_season,FT/FGA_home_season,eFG%_away_season,TOV%_away_season,ORB%_away_season,DRB%_away_season,FT/FGA_away_season,h2h_games_played,h2h_home_wins,h2h_home_winrate,eFG%_home_r1g1,TOV%_home_r1g1,FT/FGA_home_r1g1,ORB%_home_r1g1,DRB%_home_r1g1,eFG%_away_r1g1,TOV%_away_r1g1,FT/FGA_away_r1g1,ORB%_away_r1g1,DRB%_away_r1g1,homeScore_r1g1,awayScore_r1g1,homeLostRound1Game1,eFG%_home_r1_roll,TOV%_home_r1_roll,FT/FGA_home_r1_roll,ORB%_home_r1_roll,DRB%_home_r1_roll,eFG%_away_r1_roll,TOV%_away_r1_roll,FT/FGA_away_r1_roll,ORB%_away_r1_roll,DRB%_away_r1_roll,homeWins,awayWins,eFG%_home_r1_avg,TOV%_home_r1_avg,FT/FGA_home_r1_avg,ORB%_home_r1_avg,DRB%_home_r1_avg,eFG%_away_r1_avg,TOV%_away_r1_avg,FT/FGA_away_r1_avg,ORB%_away_r1_avg,DRB%_away_r1_avg,homeSeriesLength,awaySeriesLength,restAdvantage,eFG%_home_r2_roll,TOV%_home_r2_roll,FT/FGA_home_r2_roll,ORB%_home_r2_roll,DRB%_home_r2_roll,eFG%_away_r2_roll,TOV%_away_r2_roll,FT/FGA_away_r2_roll,ORB%_away_r2_roll,DRB%_away_r2_roll,eFG%_home_r1r2_avg,TOV%_home_r1r2_avg,FT/FGA_home_r1r2_avg,ORB%_home_r1r2_avg,DRB%_home_r1r2_avg,eFG%_away_r1r2_avg,TOV%_away_r1r2_avg,FT/FGA_away_r1r2_avg,ORB%_away_r1r2_avg,DRB%_away_r1r2_avg,eFG%_home_r3_roll,eFG%_away_r3_roll,TOV%_home_r3_roll,TOV%_away_r3_roll,FT/FGA_home_r3_roll,FT/FGA_away_r3_roll,ORB%_home_r3_roll,ORB%_away_r3_roll,DRB%_home_r3_roll,DRB%_away_r3_roll,eFG%_home_r1r2r3_avg,eFG%_away_r1r2r3_avg,TOV%_home_r1r2r3_avg,TOV%_away_r1r2r3_avg,FT/FGA_home_r1r2r3_avg,FT/FGA_away_r1r2r3_avg,ORB%_home_r1r2r3_avg,ORB%_away_r1r2r3_avg,DRB%_home_r1r2r3_avg,DRB%_away_r1r2r3_avg,eFG%_home_r4_roll,eFG%_away_r4_roll,TOV%_home_r4_roll,TOV%_away_r4_roll,FT/FGA_home_r4_roll,FT/FGA_away_r4_roll,ORB%_home_r4_roll,ORB%_away_r4_roll,DRB%_home_r4_roll,DRB%_away_r4_roll,gameDate,seriesId,gameLabel,gameSubLabel,homeScore,awayScore,matchupType,conference_home,conference_away,true_label,predicted_label,predicted_winner,actual_winner
42400151,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,False,1,1.0,0.5229791546354807,0.1111303229978362,0.3160251095024033,0.7631315491103853,0.1797425119189189,0.5370703856058747,0.116518717747751,0.2715094236717492,0.7588613111513853,0.1893766082715259,5.0,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-20 21:30:00,Houston Rockets_vs_Golden State Warriors_vs_2025,West First Round,Game 1,85,95,First Round,Western,Western,False,True,Houston Rockets,Golden State Warriors
42400101,2025,Cleveland Cavaliers,Miami Heat,1.0,8.0,True,True,1,1.0,0.5789728832627004,0.1108683464899944,0.2583481745605887,0.7496354993187085,0.1898286370343472,0.5449073402005499,0.1167907365701353,0.2208507433126192,0.7588217101010372,0.1858869173878394,3.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-20 19:00:00,Cleveland Cavaliers_vs_Miami Heat_vs_2025,East First Round,Game 1,121,100,First Round,Eastern,Eastern,True,True,Cleveland Cavaliers,Cleveland Cavaliers
42400111,2025,Boston Celtics,Orlando Magic,2.0,7.0,True,True,1,1.0,0.5618577799381598,0.1032607729085805,0.2558424397519852,0.7601602568082985,0.1709751502038617,0.510347938343158,0.1202786418521276,0.2524369386385372,0.7727283627059952,0.2125014442963116,3.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-20 15:30:00,Boston Celtics_vs_Orlando Magic_vs_2025,East First Round,Game 1,103,86,First Round,Eastern,Eastern,True,True,Boston Celtics,Boston Celtics
42400141,2025,Oklahoma City Thunder,Memphis Grizzlies,1.0,8.0,True,True,1,1.0,0.5581594613975414,0.0980068811549895,0.2382942231241037,0.747758760424753,0.1822653182514745,0.5544037322682288,0.1260509788846652,0.2861889776142628,0.7516919731499652,0.1987069567781037,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-20 13:00:00,Oklahoma City Thunder_vs_Memphis Grizzlies_vs_2025,West First Round,Game 1,131,80,First Round,Western,Western,True,True,Oklahoma City Thunder,Oklahoma City Thunder
42400161,2025,Los Angeles Lakers,Minnesota Timberwolves,3.0,6.0,True,False,1,1.0,0.5581055098736905,0.1203752657423463,0.2305396151391905,0.7450589432422474,0.2174557529966735,0.5565076749943708,0.124347008018063,0.2556939144770764,0.7523160875319653,0.1990115453629053,4.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-19 20:30:00,Los Angeles Lakers_vs_Minnesota Timberwolves_vs_2025,West First Round,Game 1,95,117,First Round,Western,Western,False,True,Los Angeles Lakers,Minnesota Timberwolves
42400121,2025,New York Knicks,Detroit Pistons,3.0,6.0,True,True,1,1.0,0.5573323517857001,0.1103193586209133,0.2569181580584944,0.7479974537078781,0.1884116681945858,0.548780819500136,0.1242617126027715,0.2594570567736945,0.7630740648939247,0.1948336306979154,4.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-19 18:00:00,New York Knicks_vs_Detroit Pistons_vs_2025,East First Round,Game 1,123,112,First Round,Eastern,Eastern,True,True,New York Knicks,New York Knicks
42400171,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,True,1,1.0,0.5746145427039192,0.1192318310051288,0.2665565798549045,0.7472582806684616,0.2025145635283618,0.5556264875483019,0.1262884165993449,0.2439898057377592,0.7772864684204371,0.2016721788618986,4.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-19 15:30:00,Denver Nuggets_vs_Los Angeles Clippers_vs_2025,West First Round,Game 1,112,110,First Round,Western,Western,True,True,Denver Nuggets,Denver Nuggets
42400131,2025,Indiana Pacers,Milwaukee Bucks,4.0,5.0,True,True,1,1.0,0.5622493143037851,0.1097941363664756,0.2115510400062374,0.7468470321126954,0.1923640118520674,0.5707657893237635,0.1182210867783272,0.1907593586665259,0.7631686768831937,0.2044242587321111,4.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-19 13:00:00,Indiana Pacers_vs_Milwaukee Bucks_vs_2025,East First Round,Game 1,117,98,First Round,Eastern,Eastern,True,True,Indiana Pacers,Indiana Pacers
42400152,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,True,2,1.0,0.5229791546354807,0.1111303229978362,0.3160251095024033,0.7631315491103853,0.1797425119189189,0.5370703856058747,0.116518717747751,0.2715094236717492,0.7588613111513853,0.1893766082715259,,,,0.425287356321839,0.1431127012522361,0.1264367816091954,0.4230769230769231,0.8333333333333334,0.5526315789473685,0.1180764276513525,0.1447368421052631,0.1666666666666666,0.5769230769230769,85.0,95.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-23 21:30:00,Houston Rockets_vs_Golden State Warriors_vs_2025,West First Round,Game 2,109,94,First Round,Western,Western,True,True,Houston Rockets,Houston Rockets
42400102,2025,Cleveland Cavaliers,Miami Heat,1.0,8.0,True,True,2,1.0,0.5789728832627004,0.1108683464899944,0.2583481745605887,0.7496354993187085,0.1898286370343472,0.5449073402005499,0.1167907365701353,0.2208507433126192,0.7588217101010372,0.1858869173878394,,,,0.6136363636363636,0.0686005488043904,0.1477272727272727,0.35,0.717948717948718,0.56875,0.1410153102336825,0.1125,0.282051282051282,0.65,121.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-23 19:30:00,Cleveland Cavaliers_vs_Miami Heat_vs_2025,East First Round,Game 2,121,112,First Round,Eastern,Eastern,True,True,Cleveland Cavaliers,Cleveland Cavaliers
42400112,2025,Boston Celtics,Orlando Magic,2.0,7.0,True,True,2,1.0,0.5618577799381598,0.1032607729085805,0.2558424397519852,0.7601602568082985,0.1709751502038617,0.510347938343158,0.1202786418521276,0.2524369386385372,0.7727283627059952,0.2125014442963116,,,,0.5487804878048781,0.0909826122118883,0.1585365853658536,0.2432432432432432,0.717391304347826,0.4814814814814814,0.1487504958349861,0.0987654320987654,0.2826086956521739,0.7567567567567568,103.0,86.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-23 19:00:00,Boston Celtics_vs_Orlando Magic_vs_2025,East First Round,Game 2,109,100,First Round,Eastern,Eastern,True,True,Boston Celtics,Boston Celtics
42400162,2025,Los Angeles Lakers,Minnesota Timberwolves,3.0,6.0,True,True,2,1.0,0.5581055098736905,0.1203752657423463,0.2305396151391905,0.7450589432422474,0.2174557529966735,0.5565076749943708,0.124347008018063,0.2556939144770764,0.7523160875319653,0.1990115453629053,,,,0.4879518072289157,0.1261645962732919,0.1686746987951807,0.2826086956521739,0.6944444444444444,0.6337209302325582,0.099601593625498,0.0930232558139534,0.3055555555555556,0.717391304347826,95.0,117.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-22 22:00:00,Los Angeles Lakers_vs_Minnesota Timberwolves_vs_2025,West First Round,Game 2,94,85,First Round,Western,Western,True,True,Los Angeles Lakers,Los Angeles Lakers
42400142,2025,Oklahoma City Thunder,Memphis Grizzlies,1.0,8.0,True,True,2,1.0,0.5581594613975414,0.0980068811549895,0.2382942231241037,0.747758760424753,0.1822653182514745,0.5544037322682288,0.1260509788846652,0.2861889776142628,0.7516919731499652,0.1987069567781037,,,,0.5909090909090909,0.1243781094527363,0.1414141414141414,0.2857142857142857,0.7636363636363637,0.3763440860215054,0.182906551380113,0.1075268817204301,0.2363636363636363,0.7142857142857143,131.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-22 19:30:00,Oklahoma City Thunder_vs_Memphis Grizzlies_vs_2025,West First Round,Game 2,118,99,First Round,Western,Western,True,True,Oklahoma City Thunder,Oklahoma City Thunder
42400132,2025,Indiana Pacers,Milwaukee Bucks,4.0,5.0,True,True,2,1.0,0.5622493143037851,0.1097941363664756,0.2115510400062374,0.7468470321126954,0.1923640118520674,0.5707657893237635,0.1182210867783272,0.1907593586665259,0.7631686768831937,0.2044242587321111,,,,0.5987654320987654,0.0513136288998357,0.2469135802469135,0.131578947368421,0.8260869565217391,0.4702380952380952,0.0940556809631301,0.2261904761904762,0.1739130434782608,0.868421052631579,117.0,98.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-22 19:00:00,Indiana Pacers_vs_Milwaukee Bucks_vs_2025,East First Round,Game 2,123,115,First Round,Eastern,Eastern,True,True,Indiana Pacers,Indiana Pacers
42400172,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,False,2,1.0,0.5746145427039192,0.1192318310051288,0.2665565798549045,0.7472582806684616,0.2025145635283618,0.5556264875483019,0.1262884165993449,0.2439898057377592,0.7772864684204371,0.2016721788618986,,,,0.4840425531914893,0.0941136208076659,0.2234042553191489,0.2666666666666666,0.75,0.5697674418604651,0.1769285208775654,0.1395348837209302,0.25,0.7333333333333333,112.0,110.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-21 22:00:00,Denver Nuggets_vs_Los Angeles Clippers_vs_2025,West First Round,Game 2,102,105,First Round,Western,Western,False,True,Denver Nuggets,Los Angeles Clippers
42400122,2025,New York Knicks,Detroit Pistons,3.0,6.0,True,False,2,1.0,0.5573323517857001,0.1103193586209133,0.2569181580584944,0.7479974537078781,0.1884116681945858,0.548780819500136,0.1242617126027715,0.2594570567736945,0.7630740648939247,0.1948336306979154,,,,0.5806451612903226,0.0822067957617829,0.1612903225806451,0.2352941176470588,0.717948717948718,0.563953488372093,0.1669595782073814,0.1744186046511628,0.282051282051282,0.7647058823529411,123.0,112.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-21 19:30:00,New York Knicks_vs_Detroit Pistons_vs_2025,East First Round,Game 2,94,100,First Round,Eastern,Eastern,False,True,New York Knicks,Detroit Pistons
42400157,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,False,7,1.0,0.5229791546354807,0.1111303229978362,0.3160251095024033,0.7631315491103853,0.1797425119189189,0.5370703856058747,0.116518717747751,0.2715094236717492,0.7588613111513853,0.1893766082715259,,,,,,,,,,,,,,,,,0.525079805252219,0.1172890521818453,0.2592267618330168,0.3145799139220191,0.7487743638843235,0.5141117095173271,0.1139361813958345,0.1656265638224408,0.2512256361156765,0.6854200860779809,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-04 20:30:00,Houston Rockets_vs_Golden State Warriors_vs_2025,West First Round,Game 7,89,103,First Round,Western,Western,False,True,Houston Rockets,Golden State Warriors
42400177,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,True,7,1.0,0.5746145427039192,0.1192318310051288,0.2665565798549045,0.7472582806684616,0.2025145635283618,0.5556264875483019,0.1262884165993449,0.2439898057377592,0.7772864684204371,0.2016721788618986,,,,,,,,,,,,,,,,,0.5420933940569997,0.1256900575036602,0.164934217604985,0.279563492063492,0.7447525062656641,0.5633638789249956,0.1055220422847163,0.1636287651691146,0.2552474937343358,0.7204365079365079,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-03 19:30:00,Denver Nuggets_vs_Los Angeles Clippers_vs_2025,West First Round,Game 7,120,101,First Round,Western,Western,True,True,Denver Nuggets,Denver Nuggets
42400156,2025,Golden State Warriors,Houston Rockets,7.0,2.0,False,False,6,1.0,0.5370703856058747,0.116518717747751,0.2715094236717492,0.7588613111513853,0.1893766082715259,0.5229791546354807,0.1111303229978362,0.3160251095024033,0.7631315491103853,0.1797425119189189,,,,,,,,,,,,,,,,,0.5180451625319036,0.1090609003859281,0.158751876586929,0.2473040966721451,0.6775041032935769,0.5249675611744576,0.1206077194472148,0.2264567295842355,0.322495896706423,0.7526959033278549,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-02 21:00:00,Golden State Warriors_vs_Houston Rockets_vs_2025,West First Round,Game 6,107,115,First Round,Western,Western,False,False,Houston Rockets,Houston Rockets
42400176,2025,Los Angeles Clippers,Denver Nuggets,5.0,4.0,False,True,6,1.0,0.5556264875483019,0.1262884165993449,0.2439898057377592,0.7772864684204371,0.2016721788618986,0.5746145427039192,0.1192318310051288,0.2665565798549045,0.7472582806684616,0.2025145635283618,,,,,,,,,,,,,,,,,0.5620831663379018,0.1125702258420612,0.1661219600634026,0.2589285714285714,0.7200793650793651,0.5326549300112569,0.1268184651628556,0.1836353468402678,0.2799206349206349,0.7410714285714286,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01 22:00:00,Los Angeles Clippers_vs_Denver Nuggets_vs_2025,West First Round,Game 6,111,105,First Round,Western,Western,True,True,Los Angeles Clippers,Los Angeles Clippers
42400126,2025,Detroit Pistons,New York Knicks,6.0,3.0,False,False,6,1.0,0.548780819500136,0.1242617126027715,0.2594570567736945,0.7630740648939247,0.1948336306979154,0.5573323517857001,0.1103193586209133,0.2569181580584944,0.7479974537078781,0.1884116681945858,,,,,,,,,,,,,,,,,0.5075555866595538,0.1414572381482042,0.2562319912251513,0.2925035833731486,0.7678267517574682,0.5072775306158651,0.1012293412276543,0.1919607333660846,0.2321732482425318,0.7074964166268514,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01 19:30:00,Detroit Pistons_vs_New York Knicks_vs_2025,East First Round,Game 6,113,116,First Round,Eastern,Eastern,False,False,New York Knicks,New York Knicks
42400165,2025,Los Angeles Lakers,Minnesota Timberwolves,3.0,6.0,True,False,5,1.0,0.5581055098736905,0.1203752657423463,0.2305396151391905,0.7450589432422474,0.2174557529966735,0.5565076749943708,0.124347008018063,0.2556939144770764,0.7523160875319653,0.1990115453629053,,,,,,,,,,,,,,,,,0.5333421184738956,0.1265193702359309,0.2192520080321285,0.2509159460885803,0.7187330623306233,0.5250145975602261,0.0904258746635861,0.199977966625008,0.2812669376693767,0.7490840539114196,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 22:00:00,Los Angeles Lakers_vs_Minnesota Timberwolves_vs_2025,West First Round,Game 5,96,103,First Round,Western,Western,False,True,Los Angeles Lakers,Minnesota Timberwolves
42400155,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,True,5,1.0,0.5229791546354807,0.1111303229978362,0.3160251095024033,0.7631315491103853,0.1797425119189189,0.5370703856058747,0.116518717747751,0.2715094236717492,0.7588613111513853,0.1893766082715259,,,,,,,,,,,,,,,,,0.4975556053142259,0.1226487047812824,0.1805068094161919,0.3406198708830287,0.8024770220169614,0.524983637630899,0.1086974548161645,0.16203207874337,0.1975229779830385,0.6593801291169712,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 19:30:00,Houston Rockets_vs_Golden State Warriors_vs_2025,West First Round,Game 5,131,116,First Round,Western,Western,True,True,Houston Rockets,Houston Rockets
42400175,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,True,5,1.0,0.5746145427039192,0.1192318310051288,0.2665565798549045,0.7472582806684616,0.2025145635283618,0.5556264875483019,0.1262884165993449,0.2439898057377592,0.7772864684204371,0.2016721788618986,,,,,,,,,,,,,,,,,0.5015744764675595,0.1371189718645285,0.1772186021549859,0.294345238095238,0.7388392857142857,0.5547381042638406,0.1167480583761962,0.1527744012987655,0.2611607142857142,0.705654761904762,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-29 22:00:00,Denver Nuggets_vs_Los Angeles Clippers_vs_2025,West First Round,Game 5,131,115,First Round,Western,Western,True,True,Denver Nuggets,Denver Nuggets
42400115,2025,Boston Celtics,Orlando Magic,2.0,7.0,True,True,5,1.0,0.5618577799381598,0.1032607729085805,0.2558424397519852,0.7601602568082985,0.1709751502038617,0.510347938343158,0.1202786418521276,0.2524369386385372,0.7727283627059952,0.2125014442963116,,,,,,,,,,,,,,,,,0.5185317470378447,0.1174153418113891,0.2747238033061203,0.2646798584298584,0.762409420289855,0.4837195542455607,0.1084226455052006,0.1674247082771423,0.2375905797101449,0.7353201415701416,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-29 20:30:00,Boston Celtics_vs_Orlando Magic_vs_2025,East First Round,Game 5,120,89,First Round,Eastern,Eastern,True,True,Boston Celtics,Boston Celtics
42400125,2025,New York Knicks,Detroit Pistons,3.0,6.0,True,False,5,1.0,0.5573323517857001,0.1103193586209133,0.2569181580584944,0.7479974537078781,0.1884116681945858,0.548780819500136,0.1242617126027715,0.2594570567736945,0.7630740648939247,0.1948336306979154,,,,,,,,,,,,,,,,,0.5132635799364982,0.0982462865624231,0.1955064722631613,0.2120915603031648,0.699587912087912,0.5167974245009128,0.1482727072073916,0.2438194007961449,0.3004120879120879,0.7879084396968352,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-29 19:30:00,New York Knicks_vs_Detroit Pistons_vs_2025,East First Round,Game 5,103,106,First Round,Eastern,Eastern,False,True,New York Knicks,Detroit Pistons
42400135,2025,Indiana Pacers,Milwaukee Bucks,4.0,5.0,True,True,5,1.0,0.5622493143037851,0.1097941363664756,0.2115510400062374,0.7468470321126954,0.1923640118520674,0.5707657893237635,0.1182210867783272,0.1907593586665259,0.7631686768831937,0.2044242587321111,,,,,,,,,,,,,,,,,0.5982355347315187,0.0911090653482687,0.1754164807377658,0.1609397055858035,0.7786147623862487,0.5281561917676796,0.1035061063762979,0.1837915813361376,0.2213852376137512,0.8390602944141964,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-29 18:00:00,Indiana Pacers_vs_Milwaukee Bucks_vs_2025,East First Round,Game 5,119,118,First Round,Eastern,Eastern,True,True,Indiana Pacers,Indiana Pacers
